时间(小时),ke_0.2,ke_0.3,ke_0.5
0.0,0.0,0.0,0.0
0.1,7.610976922682599,7.572669945899584,7.4968208304208686
0.2,14.486086691481576,14.33931913888598,14.05163441859951
0.30000000000000004,20.684889669026045,20.368531872747972,19.754697428934517
0.4,26.262307908392653,25.723423942954664,24.68845760114426
0.5,31.26898293337602,30.462068862306957,28.92819654287081
0.6000000000000001,35.751605988135545,34.63789113682098,32.54262103348721
0.7000000000000001,39.75322287333213,38.30002913941955,35.59440689863961
0.8,43.31351532308837,41.49366992376079,38.1406991980242
0.9,46.46906072684004,44.260358140301044,40.23357217648045
1.0,49.25357186143469,46.63828105031941,41.92045215877649
1.1,51.69811817078628,48.66253148005518,43.24450631970808
1.2000000000000002,53.83133001219218,50.36535041534705,44.24500003171051
1.3,55.679587179304804,51.77635080630152,44.95762528059623
1.4000000000000001,57.26719291102479,52.92272403072276,45.41480244489866
1.5,58.61653450260211,53.82943035353141,45.64595755435004
1.6,59.748231549399556,54.51937461647148,45.67777697707399
1.7000000000000002,60.6812727745405,55.01356829739361,45.534441332045546
1.8,61.433142318521234,55.33127899069888,45.237840282260635
1.9000000000000001,62.01993630135214,55.49016827957158,44.80776973394305
2.0,62.45647040546452,55.50641889589939,44.26211284714318
2.1,62.75637917008623,55.39485199479795,43.61700615246543
2.2,62.93220763467876,55.16903530698379,42.886991966674415
2.3000000000000003,62.9954959200007,54.84138287346157,42.085158205902
2.4000000000000004,62.956857290105425,54.42324701273945,41.22326660849385
2.5,62.826050196802754,53.92500312070432,40.31187029962063
2.6,62.612044769548255,53.356127857062575,39.36042155611471
2.7,62.32308417812361,52.72527122958057,38.37737056208772
2.8000000000000003,61.96674126260827,52.0403230479723,37.3702558832943
2.9000000000000004,61.5499707948054,51.30847418292439,36.345787330516295
3.0,61.07915770728185,50.536273032189875,35.309921829071286
3.1,60.56016160033046,49.72967756470483,34.26793286254589
3.2,59.99835781329983,48.894103285089976,33.22447401369484
3.3000000000000003,59.398675324708414,48.03446743450556,32.18363708383148
3.4000000000000004,58.76563172522488,47.15522971946805,31.149005233688445
3.5,58.10336548882553,46.26042983774998,30.12370155339391
3.6,57.415665750111714,45.353722049728866,29.11043343665408
3.7,56.705999779774466,44.438407024394124,28.111533104240475
3.8000000000000003,55.97753833542811,43.51746117153688,27.128994594249782
3.9000000000000004,55.23317905140407,42.59356365532674,26.164507511152184
4.0,54.47556801851404,41.66912126941375,25.21948780219906
4.1000000000000005,53.707119693176395,40.74629133978931,24.29510580816746
4.2,52.930035264578805,39.82700280880509,23.39231181553156
4.3,52.14631959865173,38.91297564190266,22.511859318836315
4.4,51.3577968684919,38.005738687673336,21.654326185184498
4.5,50.56612497244087,37.10664611177584,20.820133897219137
4.6000000000000005,49.77280883323825,36.216892515924684,20.009565036687064
4.7,48.97921266448321,35.33752684456642,19.22277915750736
4.800000000000001,48.18657128400293,34.46946517392509,18.459827185152683
4.9,47.39600054760389,33.61350247077657,17.720664468000056
5.0,46.60850697102775,32.7703234015513,17.005162596043895
5.1000000000000005,45.82499660271639,31.940512266128287,16.31312009291943
5.2,45.046283205172976,31.124562124925102,15.644272078493609
5.300000000000001,44.27309579825933,30.322883182576174,14.998298991284592
5.4,43.50608561366604,29.53581048658734,14.374834452614929
5.5,42.74583250600148,28.763610994829712,13.7734723476371
5.6000000000000005,41.9928508624496,28.00649006155881,13.193773192146816
5.7,41.247595049716935,27.264597387791248,12.635269848376442
5.800000000000001,40.510464434008995,26.53803247831345,12.097472647698517
5.9,39.781808007025546,25.826849644315182,11.579873973331422
6.0,39.061928648424264,25.131062587610646,11.08195235169171
6.1000000000000005,38.351087052858205,24.450648599615228,10.603176096950223
6.2,37.64950534752868,23.785552405665907,10.143006549592634
6.300000000000001,36.95737042419745,23.13568968289303,9.700900946333537
6.4,36.274837007758414,22.500950277655075,9.27631495556274
6.5,35.6020304817669,21.881201146520453,8.868704909589663
6.6000000000000005,34.93904948975348,21.27628904291098,8.477529762277548
6.7,34.285968329699024,20.686042969795473,8.102252798203132
6.800000000000001,33.64283915770892,20.110276417229926,7.742343117223245
6.9,33.0096940156888,19.548789402071737,7.3972769162606715
7.0,32.38654669668313,19.001370325839837,7.066538588222818
7.1000000000000005,31.773394460485463,18.467797665442276,6.749621656225064
7.2,31.170219611156963,17.94784151033889,6.446029559692831
7.300000000000001,30.57699094719282,17.44126495864261,6.1552763074514
7.4,29.993665094247845,16.947825383680662,5.876887011569484
7.5,29.420187729568458,16.467275581631675,5.610398314491398
7.6000000000000005,28.856494706572338,15.999364810018443,5.3553587208649125
7.7,28.302513087366023,15.543839726066071,5.11132884443852
7.800000000000001,27.75816209038927,15.10044523322366,4.877881579455803
7.9,27.223353959820376,14.66892524349246,4.654602205108354
8.0,26.69799476286419,14.249023362598173,4.441088430816065
8.1,26.181985120572023,13.8404835044877,4.236950389378412
8.200000000000001,25.675220877406,13.443050441115902,4.041810584377182
8.3,25.17759371435788,13.056470293013804,3.8553037976048263
8.4,24.68899171006025,12.680490965691904,3.677076961738577
8.5,24.209299853985303,12.314862536529338,3.50678900297452
8.6,23.738400515509127,11.959337596427325,3.344110657873654
8.700000000000001,23.27617387232746,11.613671550162593,3.188724268250397
8.8,22.822498301438962,11.277622879060448,3.0403235575493848
8.9,22.37725073566284,10.950953369315501,2.8986133918056884
9.0,21.940306988427974,10.633428309019697,2.7633095279641666
9.1,21.51154204935839,10.324816656709556,2.63413835204263
9.200000000000001,21.090830352984284,10.02489118401635,2.510836609358685
9.3,20.678046022726832,9.733428594792661,2.393151128799337
9.4,20.27306309213843,9.450209622895002,2.280838542893388
9.5,19.87575570522592,9.175019110623655,2.1736650052480058
9.600000000000001,19.48599829754245,8.907646069656328,2.0714059067302326
9.700000000000001,19.103665759602293,8.647883726160673,1.9738455916106967
9.8,18.728633584051984,8.395529551631247,1.8807770747384693
9.9,18.360777997919698,8.15038528086785,1.7920017606818852
10.0,17.999976081161357,7.91225691839383,1.7073291656487877
10.100000000000001,17.646105872627068,7.680954734503863,1.6265766428900668
10.200000000000001,17.29904646448379,7.456293252030573,1.5495691121915265
10.3,16.9586780860488,7.238091224826693,1.4761387939699793
10.4,16.624882177914238,7.026171608874758,1.4061249484093739
10.5,16.29754145717374,6.820361526857814,1.3393736200006763
10.600000000000001,15.976539974498525,6.620492226952871,1.2757373877846652
10.700000000000001,15.661763163751827,6.4263990365425085,1.2150751215389375
10.8,15.35309788477599,6.23792131147912,1.1572517440986931
10.9,15.05043245993707,6.0549023814804,1.1021379999548084
11.0,14.753656704965117,5.877189492183126,1.0496102302316237
11.100000000000001,14.462661954586158,5.704633744334964,0.9995501541104981
11.200000000000001,14.177341083402453,5.537090030560666,0.9518446567329443
11.3,13.897588522441419,5.374416970098888,0.9063855835887438
11.4,13.623300271760225,5.2164768418694525,0.863069541369476
